Time:2023-02-08 10:02:28 EP:1 Reward:521.0899999999905 Avg_reward:521.0899999999905 Epsilon:0.05 Iter:6765 Res:Result.Victory
Time:2023-02-08 10:03:42 EP:2 Reward:0 Avg_reward:260.54499999999524 Epsilon:0.05 Iter:1943 Res:Result.Defeat
Time:2023-02-08 10:04:31 EP:3 Reward:0 Avg_reward:173.6966666666635 Epsilon:0.05 Iter:1162 Res:Result.Defeat
Time:2023-02-08 10:05:42 EP:4 Reward:0 Avg_reward:130.27249999999762 Epsilon:0.05 Iter:1843 Res:Result.Defeat
Time:2023-02-08 10:06:30 EP:5 Reward:0 Avg_reward:104.2179999999981 Epsilon:0.05 Iter:1144 Res:Result.Defeat
Time:2023-02-08 10:07:21 EP:6 Reward:0 Avg_reward:86.84833333333175 Epsilon:0.05 Iter:1234 Res:Result.Defeat
Time:2023-02-08 10:08:17 EP:7 Reward:0 Avg_reward:74.44142857142721 Epsilon:0.05 Iter:1348 Res:Result.Defeat
Time:2023-02-08 10:09:32 EP:8 Reward:0.9150000000000007 Avg_reward:65.2506249999988 Epsilon:0.05 Iter:1910 Res:Result.Defeat
Time:2023-02-08 10:10:22 EP:9 Reward:0 Avg_reward:58.00055555555449 Epsilon:0.05 Iter:1201 Res:Result.Defeat
Time:2023-02-08 10:11:19 EP:10 Reward:0 Avg_reward:52.200499999999046 Epsilon:0.05 Iter:1414 Res:Result.Defeat
Time:2023-02-08 10:12:38 EP:11 Reward:0 Avg_reward:47.45499999999913 Epsilon:0.05 Iter:2087 Res:Result.Defeat
Time:2023-02-08 10:14:12 EP:12 Reward:4.814999999999983 Avg_reward:43.90166666666587 Epsilon:0.05 Iter:2404 Res:Result.Defeat
Time:2023-02-08 10:15:10 EP:13 Reward:0 Avg_reward:40.52461538461465 Epsilon:0.05 Iter:1426 Res:Result.Defeat
Time:2023-02-08 10:16:13 EP:14 Reward:0 Avg_reward:37.62999999999931 Epsilon:0.05 Iter:1588 Res:Result.Defeat
Time:2023-02-08 10:17:09 EP:15 Reward:0 Avg_reward:35.12133333333269 Epsilon:0.05 Iter:1400 Res:Result.Defeat
Time:2023-02-08 10:18:14 EP:16 Reward:0 Avg_reward:32.9262499999994 Epsilon:0.05 Iter:1673 Res:Result.Defeat
Time:2023-02-08 10:19:18 EP:17 Reward:0 Avg_reward:30.989411764705316 Epsilon:0.05 Iter:1593 Res:Result.Defeat
Time:2023-02-08 10:20:10 EP:18 Reward:0 Avg_reward:29.267777777777244 Epsilon:0.05 Iter:1246 Res:Result.Defeat
Time:2023-02-08 10:21:16 EP:19 Reward:0 Avg_reward:27.727368421052127 Epsilon:0.05 Iter:1659 Res:Result.Defeat
Time:2023-02-08 10:22:03 EP:20 Reward:0 Avg_reward:26.340999999999518 Epsilon:0.05 Iter:1152 Res:Result.Defeat
Time:2023-02-08 10:23:04 EP:21 Reward:0 Avg_reward:25.086666666666208 Epsilon:0.05 Iter:1511 Res:Result.Defeat
Time:2023-02-08 10:23:51 EP:22 Reward:0 Avg_reward:23.9463636363632 Epsilon:0.05 Iter:1131 Res:Result.Defeat
Time:2023-02-08 10:24:48 EP:23 Reward:0 Avg_reward:22.90521739130393 Epsilon:0.05 Iter:1382 Res:Result.Defeat
Time:2023-02-08 10:25:50 EP:24 Reward:0 Avg_reward:21.950833333332934 Epsilon:0.05 Iter:1602 Res:Result.Defeat
Time:2023-02-08 10:26:48 EP:25 Reward:0 Avg_reward:21.072799999999617 Epsilon:0.05 Iter:1425 Res:Result.Defeat
