Time:2023-03-21 17:56:48 EP:1 Reward:50.204 Avg_reward:50.204 Epsilon:0.05 Iter:2150 Res:Result.Victory
Time:2023-03-21 17:58:29 EP:2 Reward:0 Avg_reward:25.102 Epsilon:0.05 Iter:1144 Res:Result.Defeat
Time:2023-03-21 18:00:15 EP:3 Reward:0 Avg_reward:16.734666666666666 Epsilon:0.05 Iter:1332 Res:Result.Defeat
Time:2023-03-21 18:01:54 EP:4 Reward:0 Avg_reward:12.551 Epsilon:0.05 Iter:1179 Res:Result.Defeat
Time:2023-03-21 18:03:32 EP:5 Reward:0 Avg_reward:10.0408 Epsilon:0.05 Iter:1170 Res:Result.Defeat
Time:2023-03-21 18:05:31 EP:6 Reward:0 Avg_reward:8.367333333333333 Epsilon:0.05 Iter:1418 Res:Result.Defeat
Time:2023-03-21 18:07:01 EP:7 Reward:0 Avg_reward:7.172 Epsilon:0.05 Iter:1079 Res:Result.Defeat
Time:2023-03-21 18:08:42 EP:8 Reward:0 Avg_reward:6.2755 Epsilon:0.05 Iter:1196 Res:Result.Defeat
Time:2023-03-21 18:10:16 EP:9 Reward:0 Avg_reward:5.578222222222222 Epsilon:0.05 Iter:1118 Res:Result.Defeat
Time:2023-03-21 18:11:51 EP:10 Reward:0 Avg_reward:5.0204 Epsilon:0.05 Iter:1137 Res:Result.Defeat
Time:2023-03-21 18:13:28 EP:11 Reward:0 Avg_reward:4.564 Epsilon:0.05 Iter:1160 Res:Result.Defeat
Time:2023-03-21 18:15:05 EP:12 Reward:0 Avg_reward:4.183666666666666 Epsilon:0.05 Iter:1153 Res:Result.Defeat
Time:2023-03-21 18:16:45 EP:13 Reward:0 Avg_reward:3.861846153846154 Epsilon:0.05 Iter:1193 Res:Result.Defeat
Time:2023-03-21 18:18:35 EP:14 Reward:0 Avg_reward:3.586 Epsilon:0.05 Iter:1320 Res:Result.Defeat
Time:2023-03-21 18:20:09 EP:15 Reward:0 Avg_reward:3.3469333333333333 Epsilon:0.05 Iter:1129 Res:Result.Defeat
Time:2023-03-21 18:22:06 EP:16 Reward:0 Avg_reward:3.13775 Epsilon:0.05 Iter:1402 Res:Result.Defeat
Time:2023-03-21 18:23:45 EP:17 Reward:0 Avg_reward:2.9531764705882355 Epsilon:0.05 Iter:1181 Res:Result.Defeat
Time:2023-03-21 18:25:47 EP:18 Reward:0 Avg_reward:2.789111111111111 Epsilon:0.05 Iter:1479 Res:Result.Defeat
